#Sequence ID	name	date	primer	latlon	latitude	longitude	locality	country	address	altitude	sample_number	location	type	note	sex	site	yearmonth	source	volunteer	sampletype	sampleid	notes	sample_date	method	lat_lon
Niederdorla|20100201|Germany|12	SRA Sample SRR2155368 10	20100201		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|24	SRA Sample ERR209367 1	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Ghan|20120101|Australia|40	SRA Sample ERR505106 39	20120101		-25.274398,133.775136	-25.274398	133.775136	Ghan	Australia																haplotype called by gretel version 0.0.8	
Xghajra|20160201|Malta|1	63.Malta.Xghajra.01-02-2016	20160201		35.8868282,14.5472391	35.8868282	14.5472391	Xghajra	Malta														crAssphage_A 1-1331 (100%) aligns to NODE_102_length_36318_cov_24.7916 33419-32089 with 97.596% identity			
Roma|20130101|Italy|700	SRA Sample SRR4074260 698	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Ghan|20120101|Australia|42	SRA Sample ERR505106 41	20120101		-25.274398,133.775136	-25.274398	133.775136	Ghan	Australia																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|365	SRA Sample ERR527107 355	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20140101|China|44	SRA Sample ERR1190648 4	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Baltimore|20140608|USA|1	SRA Sample SRR4435697 1	20140608		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Roma|20130101|Italy|255	SRA Sample SRR4074260 253	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|64	SRA Sample ERR1018203 2	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Baltimore|20140607|USA|2	SRA Sample SRR4435801 2	20140607		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Lanzhou_Shi|20140101|China|154	SRA Sample ERR1190532 4	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20140101|China|49	SRA Sample ERR1190648 9	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Baltimore|20140623|USA|71	SRA Sample SRR4481813 14	20140623		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Lanzhou_Shi|20110101|China|33	SRA Sample ERR527107 23	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|334	SRA Sample ERR321623 17	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|632	SRA Sample ERR589813 1	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|211	SRA Sample ERR527107 201	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Baltimore|20140609|USA|18	SRA Sample SRR4435767 9	20140609		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Lanzhou_Shi|20120101|China|548	SRA Sample ERR589824 32	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|858	SRA Sample SRR4074332 128	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|262	SRA Sample ERR527107 252	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|422	SRA Sample SRR4074260 420	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|418	SRA Sample SRR4074260 416	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|931	SRA Sample ERR527135 393	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Independence|20060105|USA|8	SRA Sample ERR318680 4	20060105		37.09024,-95.712891	37.09024	-95.712891	Independence	USA																haplotype called by gretel version 0.0.8	
Baltimore|20140602|USA|12	SRA Sample SRR4435733 11	20140602		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Baltimore|20140608|USA|7	SRA Sample SRR4435697 7	20140608		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Kjellerup|20090101|Denmark|313	SRA Sample ERR321572 26	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|37	SRA Sample ERR321466 12	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Raionul_Calarasi|00000000|Moldova|1	65.Moldova.NA.NA			47.411631,28.369885	47.411631	28.369885	Raionul Calarasi	Moldova														crAssphage_A 1-1331 (100%) aligns to NODE_74_length_48214_cov_14.9452 23456-24786 with 96.844% identity			
Madrid|20090101|Spain|110	SRA Sample ERR414386 3	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid	Spain																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|333	SRA Sample ERR527107 323	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Edmonton|20130101|Canada|9	SRA Sample SRR2082446 3	20130101		53.520710,-113.524239	53.520710	-113.524239	Edmonton	Canada																haplotype called by gretel version 0.0.8	53.520710 N 113.524239 W
Lanzhou_Shi|20110101|China|1094	SRA Sample ERR527135 556	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Evrange|20120920|Luxembourg|4	SRA Sample SRR3313072 4	20120920		49.5,6.2	49.5	6.2	Evrange	Luxembourg																haplotype called by gretel version 0.0.8	49.5 N 6.2 E
Division_No_18|20101001|Canada|121	SRA Sample SRR1554402 47	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|410	SRA Sample SRR4074260 408	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20140101|China|26	SRA Sample ERR1190617 1	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|143	SRA Sample ERR527107 133	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Division_No_18|20101001|Canada|46	SRA Sample SRR1554403 46	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Division_No_18|20101001|Canada|42	SRA Sample SRR1554403 42	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|66	SRA Sample ERR1018206 2	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Sherbakulskiy_rayon|20160301|Russia|1	Tyakht OM_178_A primer A	20160301		54.3933,72.4255	54.3933	72.4255	Sherbakulskiy rayon	Russia	Omsk, Russia																
Kjellerup|20090101|Denmark|8	SRA Sample ERR526073 1	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|43	SRA Sample ERR527107 33	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|92	SRA Sample ERR527107 82	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20140101|China|103	SRA Sample ERR1190619 37	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|46	SRA Sample ERR527107 36	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|324	SRA Sample ERR527107 314	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Niederdorla|20100501|Germany|12	SRA Sample SRR2155386 12	20100501		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Montreal|20100113|Canada|2	SRA Sample SRR2565988 2	20100113		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Lanzhou_Shi|20110101|China|264	SRA Sample ERR527107 254	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|866	SRA Sample ERR527135 328	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|789	SRA Sample SRR4074332 59	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|160	SRA Sample ERR1018206 96	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|194	SRA Sample SRR4074260 192	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|308	SRA Sample ERR1018206 244	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20140101|China|135	SRA Sample ERR1190584 4	20140101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|166	SRA Sample ERR321591 7	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Division_No_18|20101001|Canada|15	SRA Sample SRR1554403 15	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|339	SRA Sample ERR209194 1	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Dallas|20140616|USA|13	SRA Sample SRR3160438 13	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Division_No_18|20101001|Canada|77	SRA Sample SRR1554402 3	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|136	SRA Sample ERR321483 56	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Niederdorla|20120101|Germany|9	SRA Sample ERR479472 2	20120101		51.165691,10.451526	51.165691	10.451526	Niederdorla	Germany																haplotype called by gretel version 0.0.8	
Division_No_18|20101001|Canada|89	SRA Sample SRR1554402 15	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|536	SRA Sample ERR589824 20	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|498	SRA Sample ERR527107 488	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|710	SRA Sample SRR4074260 708	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|488	SRA Sample ERR589821 50	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Baltimore|20140608|USA|4	SRA Sample SRR4435697 4	20140608		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Lanzhou_Shi|20120101|China|87	SRA Sample ERR1018206 23	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Madrid|20090101|Spain|104	SRA Sample ERR209607 8	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid	Spain																haplotype called by gretel version 0.0.8	
Bethesda|19901030|USA|2	SRA Sample SRR1714192 2	19901030		38.98,-77.11	38.98	-77.11	Bethesda	USA																haplotype called by gretel version 0.0.8	38.98 N 77.11 W
Lanzhou_Shi|20120101|China|525	SRA Sample ERR589824 9	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|872	SRA Sample SRR4074332 142	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Montreal|20100113|Canada|7	SRA Sample SRR2565988 7	20100113		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Baltimore|20140609|USA|19	SRA Sample SRR4435767 10	20140609		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Roma|20130101|Italy|695	SRA Sample SRR4074260 693	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Montreal|20100113|Canada|8	SRA Sample SRR2565988 8	20100113		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Lanzhou_Shi|20120101|China|251	SRA Sample ERR1018206 187	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Tampere|20151120|Finland|4	Cinek lab sample bin13 primer A 20151120	20151120		61.505,23.815	61.505	23.815	Tampere	Finland						coordinates are hospital location											
Lanzhou_Shi|20110101|China|819	SRA Sample ERR527135 281	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Montreal|20100309|Canada|3	SRA Sample SRR2566043 3	20100309		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Abuja|20170421|Nigeria|2	Mazankova primer A sample 200 20170421	20170421		9.0765,7.3986	9.0765	7.3986	Abuja	Nigeria			200														
Roma|20130101|Italy|385	SRA Sample SRR4074260 383	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|585	SRA Sample ERR589826 5	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|167	SRA Sample ERR1018206 103	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|288	SRA Sample ERR527107 278	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|69	SRA Sample ERR321530 25	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Ghan|20120101|Australia|9	SRA Sample ERR505106 8	20120101		-25.274398,133.775136	-25.274398	133.775136	Ghan	Australia																haplotype called by gretel version 0.0.8	
North_Kurdufan|00000000|Sudan|3	Cinek lab sample 259 A unknown	unknown		12.862807,30.217636	12.862807	30.217636	North Kurdufan	Sudan						Assembly of 4 reads: 259_A_intf.ab1 (reversed), 259_A_r.ab1, 259_A_f.ab1 (reversed), 259_A_intr.ab1	f										
Kochi|20160127|India|1	11.India.Kochi.27-01-2016	20160127		9.9312328,76.26730409999999	9.9312328	76.26730409999999	Kochi	India														crAssphage_A 1-1331 (100%) aligns to NODE_10053_length_3481_cov_2.94571 1572-2902 with 95.642% identity			
Roma|20130101|Italy|467	SRA Sample SRR4074260 465	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|620	SRA Sample SRR4074260 618	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Division_No_18|20101001|Canada|23	SRA Sample SRR1554403 23	20101001		56.130366,-106.346771	56.130366	-106.346771	Division No. 18	Canada																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|6	SRA Sample ERR589807 5	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|164	SRA Sample ERR527107 154	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|19	SRA Sample ERR526073 12	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|884	SRA Sample ERR527135 346	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Madrid|20090101|Spain|123	SRA Sample ERR210499 1	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid	Spain																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|446	SRA Sample ERR589821 8	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|51	SRA Sample ERR1018213 1	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Montreal|20100416|Canada|5	SRA Sample SRR2566059 5	20100416		45.50,-73.63	45.50	-73.63	Montreal	Canada																haplotype called by gretel version 0.0.8	45.50 N 73.63 W
Lanzhou_Shi|20110101|China|1009	SRA Sample ERR527135 471	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|111	SRA Sample ERR1018206 47	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
North_Fremantle|20170816|Australia|1	Barr Monash Sample5 PrimerA 20170816	20170816		-32.0397544,115.6806686	-32.0397544	115.6806686	North Fremantle	Australia			5	WWTP, Western Australia, Australia	WWTP												
San_Marcos|20151002|USA|1	Edwards Primer A Site 4 20151002	20151002		33.144526,-117.178849	33.144526	-117.178849	San Marcos	USA	Vallecitos Water District, 201 Vallecitos De Oro, San Marcos, CA 92069																
Lanzhou_Shi|20110101|China|317	SRA Sample ERR527107 307	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Rybienko_Stare|20160303|Poland|2	Decewicz Dziewit Primer A Wyszkow 20160303	20160303		52.577948,21.429024	52.577948	21.429024	Rybienko Stare	Poland	Municipal Wastewater Treatment Plant, Rybienko Stare, 07200 Wyszkow, Poland																
Lanzhou_Shi|20120101|China|288	SRA Sample ERR1018206 224	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|342	SRA Sample ERR209194 4	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|409	SRA Sample SRR4074260 407	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|61	SRA Sample ERR321530 17	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|325	SRA Sample ERR1018206 261	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Kjellerup|20090101|Denmark|162	SRA Sample ERR321591 3	20090101		56.26392,9.501785	56.26392	9.501785	Kjellerup	Denmark																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|618	SRA Sample ERR527135 80	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|825	SRA Sample ERR527135 287	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|493	SRA Sample SRR4074260 491	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|404	SRA Sample ERR1018187 2	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Madrid|20090101|Spain|91	SRA Sample ERR209793 38	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid	Spain																haplotype called by gretel version 0.0.8	
Dallas|20140616|USA|142	SRA Sample SRR3160438 142	20140616		32.8094,-96.8365	32.8094	-96.8365	Dallas	USA																haplotype called by gretel version 0.0.8	32.8094 N 96.8365 W
Roma|20130101|Italy|63	SRA Sample SRR4074260 61	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|777	SRA Sample SRR4074332 47	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|768	SRA Sample SRR4074332 38	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|623	SRA Sample ERR1018191 32	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|67	SRA Sample ERR1018206 3	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Courtaboeuf_Cedex|20050101|France|36	SRA Sample ERR479396 3	20050101		46.227638,2.213749	46.227638	2.213749	Courtaboeuf Cedex	France																haplotype called by gretel version 0.0.8	
Warszawa|20160126|Poland|7	Decewicz Dziewit Primer A Warsaw 20160126	20160126		52.351351,20.959269	52.351351	20.959269	Warszawa	Poland	Municipal Wastewater Treatment Plant Czajka, Czajki 4/6, Warsaw, 03054 Warsaw, Poland																
Madrid|20090101|Spain|29	SRA Sample ERR209824 18	20090101		40.463667,-3.74922	40.463667	-3.74922	Madrid	Spain																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|281	SRA Sample ERR1018206 217	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|297	SRA Sample ERR527107 287	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Baltimore|20140623|USA|54	SRA Sample SRR4435731 54	20140623		39.288462639338995,-76.6259459406137	39.288462639338995	-76.6259459406137	Baltimore	USA																haplotype called by gretel version 0.0.8	39.288462639338995 N 76.62594594061375 W
Lanzhou_Shi|20130101|China|5	SRA Sample ERR1578694 5	20130101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Roma|20130101|Italy|89	SRA Sample SRR4074260 87	20130101		41.87194,12.56738	41.87194	12.56738	Roma	Italy																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20110101|China|189	SRA Sample ERR527107 179	20110101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
Lanzhou_Shi|20120101|China|578	SRA Sample ERR589789 1	20120101		35.86166,104.195397	35.86166	104.195397	Lanzhou Shi	China																haplotype called by gretel version 0.0.8	
